The following miRNA-target pairs, validated by luciferase reporter experiments, were extracted manually from the corresponding reference. A few target genes not documented here may be available in "TarBase" and "miRecords" database system.

miRNA	Validated target	Pub Date	Reference
hsa-let-7a	KRAS	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7a	HMGA2	2008	Clinical significance of high mobility group A2 in human gastric cancer and its relationship to let-7 microRNA family.
hsa-let-7a	integrin beta(3)	2008	Integrin beta(3) expression is regulated by let-7a miRNA in malignant melanoma.
hsa-let-7a	caspase-3	2008	Let-7a microRNA suppresses therapeutics-induced cancer cell death by targeting caspase-3.
hsa-let-7a	PRDM1/Blimp-1	2008	MicroRNA-mediated down-regulation of PRDM1/Blimp-1 in Hodgkin/Reed-Sternberg cells: a potential pathogenetic lesion in Hodgkin lymphomas.
hsa-let-7a	HMGA2	2007	Disrupting the pairing between let-7 and Hmga2 enhances oncogenic transformation.
hsa-let-7a	IGF-II	2007	Hypermethylation of let-7a-3 in epithelial ovarian cancer is associated with low insulin-like growth factor-II expression and favorable prognosis.
hsa-let-7a	HMGA2	2007	Let-7 expression defines two differentiation stages of cancer.
hsa-let-7a	HMGA2	2007	let-7 regulates self renewal and tumorigenicity of breast cancer cells.
hsa-let-7a	RAS	2007	let-7 regulates self renewal and tumorigenicity of breast cancer cells.
hsa-let-7a	BCL2	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-let-7a	RAS	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-let-7a	MYC	2007	MicroRNA let-7a down-regulates MYC and reverts MYC-induced growth in Burkitt lymphoma cells.
hsa-let-7a	CDC25A	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7a	CDK6	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7a	NF2	2007	The MicroRNA let-7a modulates interleukin-6-dependent STAT-3 survival signaling in malignant human cholangiocytes.
hsa-let-7a	c-myc	2006	let-7 microRNA functions as a potential growth suppressor in human colon cancer cells.
hsa-let-7a	RAS	2006	let-7 microRNA functions as a potential growth suppressor in human colon cancer cells.
hsa-let-7a	RAS	2005	RAS is regulated by the let-7 microRNA family.
hsa-let-7a	NIRF	2009	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells
hsa-let-7b	Cdc34	2009	let-7 overexpression leads to an increased fraction of cells in G2/M, direct down-regulation of Cdc34 and stabilization of Wee1 kinase in primary fibroblasts.
hsa-let-7b	Dicer	2008	A search for conserved sequences in coding regions reveals that the let-7 microRNA targets Dicer within its coding sequence
hsa-let-7b	KRAS	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7b	CCND1	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-let-7b	CDC25A	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7b	CDK6	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7b	HMGA2	2007	The tumor suppressor microRNA let-7 represses the HMGA2 oncogene.
hsa-let-7c	HMGA2	2008	Antiproliferative effects by Let-7 repression of high-mobility group A2 in uterine leiomyoma.
hsa-let-7c	HMGA2	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-let-7c	HMGA2	2007	Let-7 expression defines two differentiation stages of cancer.
hsa-let-7c	BCL2	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-let-7c	RAS	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-let-7c	CDC25A	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7c	CDK6	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7c	RAS	2007	Widespread deregulation of microRNA expression in human prostate cancer.
hsa-let-7d	KRAS	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7d	HMGA2	2007	Let-7 prevents early cancer progression by suppressing expression of the embryonic gene HMGA2.
hsa-let-7d	BCL2	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-let-7d	RAS	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-let-7d	CDC25A	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7d	CDK6	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7d 	BDNF	2009	microRNAs miR-124, let-7d and miR-181a regulate Cocaine-induced Plasticity
hsa-let-7d 	D3R	2009	microRNAs miR-124, let-7d and miR-181a regulate Cocaine-induced Plasticity
hsa-let-7e	HMGA2	2007	The tumor suppressor microRNA let-7 represses the HMGA2 oncogene.
hsa-let-7g	KRAS	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7g	HMGA2	2008	Suppression of non-small cell lung tumor development by the let-7 microRNA family.
hsa-let-7g	Ras	2008	Suppression of non-small cell lung tumor development by the let-7 microRNA family.
hsa-let-7g	HMGA2	2007	Let-7 expression defines two differentiation stages of cancer.
hsa-let-7g	CDC25A	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7g	CDK6	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-miR-1	c-Met	2009	MicroRNA-1/206 targets c-Met and inhibits rhabdomyosarcoma development.
hsa-miR-1	calmodulin	2009	MicroRNA-1 negatively regulates expression of the hypertrophy-associated calmodulin and Mef2a genes
hsa-miR-1	Gata4	2009	MicroRNA-1 negatively regulates expression of the hypertrophy-associated calmodulin and Mef2a genes
hsa-miR-1	Mef2a	2009	MicroRNA-1 negatively regulates expression of the hypertrophy-associated calmodulin and Mef2a genes
hsa-miR-1	BCL2	2009	MicroRNA-1 Regulates Cardiomyocyte Apoptosis by Targeting Bcl-2
hsa-miR-1	Gata4	2009	MicroRNA-27a functions as an oncogene in gastric adenocarcinoma by targeting prohibitin.
hsa-miR-1	calmodulin	2009	Post-transcriptional regulation of mouse mu opioid receptor (MOR1) via its 3'untranslated region: a role for microRNA23b.
hsa-miR-1	Mef2a	2009	Up-regulation of micro-RNA-221 (miRNA-221; chr Xp11.3) and caspase-3 accompanies down-regulation of the survivin-1 homolog BIRC1 (NAIP) in glioblastoma multiforme(GBM).
hsa-miR-1	C/EBPa	2008	Downregulation of microRNA-1 (miR-1) in lung cancer: Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin induced apoptosis bymiR-1.
hsa-miR-1	FoxP1	2008	Downregulation of microRNA-1 (miR-1) in lung cancer: Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin induced apoptosis bymiR-1.
