feature	coefficent value	posterior variance	t-value	p-value
hsa-let-7c	-0.057362070798471	6.76199178901563e-05	6.9756952902431	3.15063530820225e-11
hsa-mir-1249	-0.0339377608811612	6.49891906627948e-05	4.20981121853179	3.65684672278821e-05
hsa-mir-31	0.0650995763890787	5.47613530827565e-05	8.79713136765096	4.44089209850063e-16
hsa-mir-3189	-0.0533754843030558	6.10459249018481e-05	6.83145936791367	7.31685823041062e-11
hsa-mir-320c-1	-0.0503400061828704	6.15054273029117e-05	6.41883991423165	7.65932206547859e-10
hsa-mir-337	0.0566411330058576	7.29473720594916e-05	6.6317341268339	2.30709673587626e-10
hsa-mir-34a	-0.0653644674508226	6.62665028120174e-05	8.02961461148763	4.88498130835069e-14
hsa-mir-3662	-0.0535872080828354	5.5551640364304e-05	7.18973174689593	8.84647910481817e-12
hsa-mir-548e	0.0390678965957548	5.85919582473023e-05	5.10388667621528	6.9263017721255e-07
hsa-mir-580	-0.0326925156352815	6.2123043758482e-05	4.14783982443078	4.71095454903647e-05
